"";"db_ref";"objectives"
"94";"crs_XM-DAC-47015-12459_Bilateral_Japan-JIRCAS-JapanInternationalResearchCenterforAgriculturalSciences_IRRI";"A $54,000 Bilateral grant from Japan-JIRCAS-Japan International Research Center for Agricultural Sciences to IRRI for Upscaling of WeRise in wider rainfed rice areas of Southeast Asia and Sub Sahara Africa through database development and capacity building"
"95";"crs_XM-DAC-47015-12498_Bilateral_TEINCooperationCenter_IRRI";"A $261,000 Bilateral grant from TEIN Cooperation Center to IRRI for RICESTATS DATABASE: Leveraging the Cloud for Rice Statistics and Analytics"
"96";"crs_XM-DAC-47015-12534_Bilateral_UNIDO-UnitedNationsIndustrialDevelopmentOrganization_IRRI";"A $185,000 Bilateral grant from UNIDO-United Nations Industrial Development Organization to IRRI for Cost-benefit Assessment of Mitigation Options in Rice Production: Data compilation, tools and training within the Vietnamese context"
"97";"crs_XM-DAC-47015-14551_Window3_BMGF-BillMelindaGatesFoundation_IITA";"A $87,500 Window 3 grant from BMGF-Bill & Melinda Gates Foundation to IITA for BMGF/IITA - CASSAVA MONITORING SURVEY"
"98";"crs_XM-DAC-47015-14757_Bilateral_Nigeria-FMARD-FederalMinistryofAgricultureandRuralDevelopment_IITA";"A $41,600 Bilateral grant from Nigeria-FMARD-Federal Ministry of Agriculture and Rural Development to IITA for FMARD/IITA - NATIONWIDE PEST SURVEY FO"
"99";"crs_XM-DAC-47015-14991_Bilateral_TheRegentsoftheUniversityofMichigan_CIAT";"A $12,000 Bilateral grant from The Regents of the University of Michigan to CIAT for Leveraging existing global data and insights into the policy process to accelerate progress toward achieving sustainable diets in the Global South"
"100";"crs_XM-DAC-47015-14992_Bilateral_TheRegentsoftheUniversityofMichigan_CIAT";"A $213,000 Bilateral grant from The Regents of the University of Michigan to CIAT for Leveraging existing global data and insights into the policy process to accelerate progress toward achieving sustainable diets in the Global South"
"101";"crs_XM-DAC-47015-16245_Bilateral_FAO-FoodandAgricultureOrganization_IFPRI";"A $406,000 Bilateral grant from FAO-Food and Agriculture Organization to IFPRI for DATA PKG TO SUPPORT PHL"
"102";"crs_XM-DAC-47015-11339_Bilateral_FAO-FoodandAgricultureOrganization_CIFOR";"A $62,000 Bilateral grant from FAO-Food and Agriculture Organization to CIFOR for Scaling up data on Non Wood Forest Products in Zambia"
"103";"crs_XM-DAC-47015-15097_Bilateral_SLU-SwedishUniversityofAgriculturalSciences_CIAT";"A $21,000 Bilateral grant from SLU-Swedish University of Agricultural Sciences to CIAT for CIAT SLU Soil Data Manager"
"104";"crs_XM-DAC-47015-15111_Bilateral_Germany-GIZ-DeutscheGesellschaftfurInternationaleZusammenarbeitGmbH_CIAT";"A $131,000 Bilateral grant from Germany-GIZ-Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH to CIAT for Facilitating data access and analytical capacity to transform the Ethiopian agriculture"
"105";"crs_XM-DAC-47015-15150_Window3_USA-USAID-UnitedStatesAgencyforInternationalDevelopment_CIAT";"A $2,058,000 Window 3 grant from USA - USAID-United States Agency for International Development to CIAT for Climate data and information for resilient 
    development"
"106";"crs_XM-DAC-47015-15201_Windows1and2_CGIARFund_CIAT";"A $21,135,000 Windows 1 & 2 grant from CGIAR Fund to CIAT for Big Data in Agriculture coordination platform"
"107";"crs_XM-DAC-47015-16072_Bilateral_WorldBank_IFPRI";"A $45,000 Bilateral grant from World Bank to IFPRI for DISAGGRG AGR DATA-VIETNAM"
"108";"crs_XM-DAC-47015-16123_Bilateral_JohnsHopkinsUniversity_IFPRI";"A $1,318,736 Bilateral grant from Johns Hopkins University to IFPRI for DATA DENT"
"109";"crs_XM-DAC-47015-16185_Bilateral_Australia-DFAT-DepartmentofForeignAffairsandTrade_IFPRI";"A $426,016 Bilateral grant from Australia-DFAT-Department of Foreign Affairs and Trade to IFPRI for BRIDGE FUND PNG SURVEY"
"110";"crs_XM-DAC-47015-16189_Bilateral_WorldBank_IFPRI";"A $300,000 Bilateral grant from World Bank to IFPRI for BASELINE SURVEY-APPEALS"
"111";"crs_XM-DAC-47015-5985_Bilateral_PelagicDataSystemInc_WorldFish";"A $84,000 Bilateral grant from Pelagic Data System Inc. to WorldFish for Pelagic Data System (PDS)"
"112";"crs_XM-DAC-47015-6951_Bilateral_Kenya-MinistryofAgricultureandIrrigationStateDepartmentforCropsDevelopment_ICRAF";"A $498,311 Bilateral grant from Kenya-Ministry of Agriculture and Irrigation State Department for Crops Development to ICRAF for KENY-1309:Undertaking a Biophysical Baseline Survey and Annual Tracking of Ecosystem Health for the Kenya Cereal Enhancement Programme-Climate Resilient Agricultural Livelihoods Window"
"113";"crs_XM-DAC-47015-7073_Bilateral_WorldFoodPrize_ICRAF";"A $76,603 Bilateral grant from World Food Prize to ICRAF for WFPZ-1435:Lead the research methodology, data analysis and reporting of the baseline survey and inception reports"
"114";"crs_XM-DAC-47015-15023_Bilateral_ProducersDirect_CIAT";"A $66,000 Bilateral grant from Producers Direct to CIAT for Collaborative Data Innovations for Sustainable Development"
"115";"crs_XM-DAC-47015-15077_Bilateral_HeiferInternational_CIAT";"A $136,000 Bilateral grant from Heifer International to CIAT for CSA datamining - HEIFER CIAT"
"116";"crs_XM-DAC-47015-16270_Bilateral_USA-MCC-MillenniumChallengeCorporation_IFPRI";"A $484,770 Bilateral grant from USA-MCC-Millennium Challenge Corporation to IFPRI for STATISTCAL CAP BLDG-NIGER"
"117";"crs_XM-DAC-47015-17567_Bilateral_JalSevaCharitableFoundation_IWMI";"A $435,928 Bilateral grant from Jal Seva Charitable Foundation to IWMI for Crop monitoring using satellite data for selected states in India for implementation of PMFBY Crop Insurance Scheme"
"118";"crs_XM-DAC-47015-17571_Bilateral_BajajAllianzGeneralInsuranceCompanyLimited_IWMI";"A $70,447 Bilateral grant from Bajaj Allianz General Insurance Company Limited to IWMI for Crop monitoring using satellite data for selected states in India for implementation of PMFBY Crop Insurance Scheme"
"119";"crs_XM-DAC-47015-17620_Bilateral_Germany-GIZ-DeutscheGesellschaftfurInternationaleZusammenarbeitGmbH_IWMI";"A $318,389 Bilateral grant from Germany-GIZ-Deutsche Gesellschaft für Internationale Zusammenarbeit GmbH to IWMI for Provision of Technical Assistance to conduct a baseline Socioeconomic/gender survey in five districts of UWR and one district of NR, Ghana 81241813"
"120";"crs_XM-DAC-47015-17769_Bilateral_HelmsleyCharitableTrust_IWMI";"A $2,999,319 Bilateral grant from Helmsley Charitable Trust to IWMI for Water secure Africa initiative: Open data cube extension"
"121";"crs_XM-DAC-47015-18018_Window3_USA-USAID-UnitedStatesAgencyforInternationalDevelopment_CIAT";"A $435,000 Window 3 grant from USA - USAID-United States Agency for International Development to CIAT for Improving Data Availability and Inter-Comparability To Support The Enhanced Transparency Framework For Better Reporting Of Forestrelated Mitigation"
"122";"crs_XM-DAC-47015-18028_Bilateral_others_CIAT";"A $15,000 Bilateral grant from others to CIAT for Various Donor Agreements Big Data"
"123";"crs_XM-DAC-47015-18031_Bilateral_BMGF-BillMelindaGatesFoundation_IITA";"A $399,150 Bilateral grant from BMGF-Bill & Melinda Gates Foundation to IITA for IDSNA/IITA -  ROOT ANALYTICAL DATA ACQUIRED B"
"124";"crs_XM-DAC-47015-18114_Bilateral_UniversityofGeorgia_IFPRI";"A $25,000 Bilateral grant from University of Georgia to IFPRI for SMARTPHONE CAM DATA TRIAL"
"125";"crs_XM-DAC-47015-18209_Bilateral_TheFood-AgricultureandNaturalResourcesPolicyAnalysisNetwork_ILRI";"A $371,512 Bilateral grant from The Food, Agriculture and Natural Resources Policy Analysis Network to ILRI for Improved diet and health data for decision-making in Agriculture and Nutrition Actions in Africa"
"126";"crs_XM-DAC-47015-18217_Bilateral_UNDP-FrontierCountiesDevelopmentCouncil_ILRI";"A $12,571 Bilateral grant from UNDP-Frontier Counties Development Council to ILRI for Carry out participatory mapping and GIS data layer development of rangeland resources in Lamu"
"127";"crs_XM-DAC-47015-19103_Bilateral_Tata-CornellInsituteforAgricultureandNutrition_ICRISAT";"A $153,000 Bilateral grant from Tata-Cornell Insitute for Agriculture and Nutrition to ICRISAT for Updating the Meso-Level Database for India and Developing an Interactive Tool for Public Access and Use"
"128";"crs_XM-DAC-47015-19151_Bilateral_WYGInternationalLimited_Bioversity";"A $732,454 Bilateral grant from WYG International Limited to Bioversity for WYG (UK - DFID) International What Works Where  for which farmer: Combing big data and crowdsourcing for household-specific targeting and learning"
"129";"crs_XM-DAC-47015-18273_Bilateral_JomoKenyattaUniversityofAgricultureandTechnology_ILRI";"A $24,730 Bilateral grant from Jomo Kenyatta University of Agriculture and Technology to ILRI for Establishing Field Data-Driven Vaccine Platform for Newcastle Disease Virus in Poultry: Steps Towards Poverty Alleviation and Food Security in Kenya"
"130";"crs_XM-DAC-47015-18290_Bilateral_Ethiopia-MinistryofLivestockandFisheries_ILRI";"A $177,210 Bilateral grant from Ethiopia-Ministry of Livestock and Fisheries to ILRI for Baseline Survey For Drought Resilience and Sustainable Livelihood Program"
"131";"crs_XM-DAC-47015-18291_Bilateral_Ethiopia-MinistryofLivestockandFisheries_ILRI";"A $433,911 Bilateral grant from Ethiopia-Ministry of Livestock and Fisheries to ILRI for Baseline survey for the Livestock and Fisheries Sector Development Project (LFSDP)"
"132";"crs_XM-DAC-47015-18362_Bilateral_WorldBank_ILRI";"A $20,000 Bilateral grant from World Bank to ILRI for Pastoral household survey database sharing and analytical support to the World Bank"
"133";"crs_XM-DAC-47015-18902_Bilateral_Tata-CornellInsituteforAgricultureandNutrition_ICRISAT";"A $210,000 Bilateral grant from Tata-Cornell Insitute for Agriculture and Nutrition to ICRISAT for District Level Database of India: Modernization and Updating (Phase II)"
