"db_ref","process_id","year","donorcode","donorname","agencycode","agencyname","crsid","projectnumber","initialreport","recipientcode","recipientname","regioncode","regionname","incomegroupcode","incomegroupname","flowcode","flowname","bi_multi","category","finance_t","aid_t","usd_commitment","usd_disbursement","usd_received","usd_commitment_defl","usd_disbursement_defl","usd_received_defl","usd_adjustment","usd_adjustment_defl","usd_amountuntied","usd_amountpartialtied","usd_amounttied","usd_amountuntied_defl","usd_amountpartialtied_defl","usd_amounttied_defl","usd_irtc","usd_expert_commitment","usd_expert_extended","usd_export_credit","currencycode","commitment_national","disbursement_national","grantequiv","usd_grantequiv","shortdescription","projecttitle","purposecode","purposename","sectorcode","sectorname","channelcode","channelname","channelreportedname","parentchannelcode","geography","expectedstartdate","completiondate","longdescription","sdgfocus","keywords","gender","environment","pdgg","trade","rmnch","drr","nutrition","disability","ftc","pba","investmentproject","assocfinance","biodiversity","climatemitigation","climateadaptation","desertification","commitmentdate","typerepayment","numberrepayment","interest1","interest2","repaydate1","repaydate2","usd_interest","usd_outstanding","usd_arrears_principal","usd_arrears_interest","capitalexpend","psiflag","psiaddtype","psiaddassess","psiadddevobj","ldcflag","ldcflagname","source"
"df_630",1535,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003708","ST0609214",1,265,"Zimbabwe",10003,"South of Sahara",10017,"Other LICs",11,"ODA Grants",1,10,110,"",0.01948,0.01948,0,0.021971,0.021971,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.01948,0.01948,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15160,"Human rights",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_640",1558,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003588","ST0608828",1,9998,"Bilateral, unspecified",15006,"Regional and Unspecified",10024,"Part I unallocated by income",11,"ODA Grants",1,10,110,"",0.00247,0.00247,0,0.002786,0.002786,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.00247,0.00247,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_641",1559,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003589","ST0608836",1,64,"Bosnia and Herzegovina",10010,"Europe",10019,"UMICs",11,"ODA Grants",1,10,110,"",0.00247,0.00247,0,0.002786,0.002786,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.00247,0.00247,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_643",1561,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003590","ST0608844",1,136,"Morocco",10002,"North of Sahara",10018,"LMICs",11,"ODA Grants",1,10,110,"",0.00247,0.00247,0,0.002786,0.002786,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.00247,0.00247,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_644",1562,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003591","ST0608984",1,241,"Ghana",10003,"South of Sahara",10018,"LMICs",11,"ODA Grants",1,10,110,"",0.00247,0.00247,0,0.002786,0.002786,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.00247,0.00247,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_647",1598,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003594","ST0609115",1,248,"Kenya",10003,"South of Sahara",10018,"LMICs",11,"ODA Grants",1,10,110,"",0.00247,0.00247,0,0.002786,0.002786,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.00247,0.00247,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_648",1599,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003595","ST0609149",1,285,"Uganda",10003,"South of Sahara",10016,"LDCs",11,"ODA Grants",1,10,110,"",0.00247,0.00247,0,0.002786,0.002786,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.00247,0.00247,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_670",1626,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003598","ST0609297",1,366,"Panama",10005,"Caribbean & Central America",10019,"UMICs",11,"ODA Grants",1,10,110,"",0.00247,0.00247,0,0.002786,0.002786,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.00247,0.00247,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_671",1628,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003601","ST0609339",1,660,"Nepal",10009,"South & Central Asia",10016,"LDCs",11,"ODA Grants",1,10,110,"",0.00247,0.00247,0,0.002786,0.002786,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.00247,0.00247,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_672",1629,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003602","ST0609347",1,730,"China (People's Republic of)",10008,"Far East Asia",10019,"UMICs",11,"ODA Grants",1,10,110,"",0.00247,0.00247,0,0.002786,0.002786,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.00247,0.00247,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_673",1631,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003603","ST0609362",1,550,"West Bank and Gaza Strip",10011,"Middle East",10018,"LMICs",11,"ODA Grants",1,10,110,"",0.00247,0.00247,0,0.002786,0.002786,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.00247,0.00247,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_674",1632,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003604","ST0609388",1,9998,"Bilateral, unspecified",15006,"Regional and Unspecified",10024,"Part I unallocated by income",11,"ODA Grants",1,10,110,"",0.00247,0.00247,0,0.002786,0.002786,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.00247,0.00247,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_708",1689,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003408","ST0608901",1,269,"Senegal",10003,"South of Sahara",10016,"LDCs",11,"ODA Grants",1,10,110,"",0.02955,0.02955,0,0.033328,0.033328,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.02955,0.02955,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_709",1690,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003409","ST0608927",1,230,"Cabo Verde",10003,"South of Sahara",10018,"LMICs",11,"ODA Grants",1,10,110,"",0.0111,0.0111,0,0.012519,0.012519,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.0111,0.0111,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_724",1708,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003706","ST0609123",1,248,"Kenya",10003,"South of Sahara",10018,"LMICs",11,"ODA Grants",1,10,110,"",0.01948,0.01948,0,0.021971,0.021971,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.01948,0.01948,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15160,"Human rights",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_725",1709,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003707","ST0609164",1,282,"Tanzania",10003,"South of Sahara",10016,"LDCs",11,"ODA Grants",1,10,110,"",0.05845,0.05845,0,0.065923,0.065923,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.05845,0.05845,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15160,"Human rights",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_764",1791,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003404","ST0608869",1,255,"Mali",10003,"South of Sahara",10016,"LDCs",11,"ODA Grants",1,10,110,"",0.01736,0.01736,0,0.01958,0.01958,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.01736,0.01736,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
"df_765",1792,2006,5,"Germany",1,"Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung","2006003405","ST0608877",1,287,"Burkina Faso",10003,"South of Sahara",10016,"LDCs",11,"ODA Grants",1,10,110,"",0.02848,0.02848,0,0.032121,0.032121,0,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,302,0.02848,0.02848,NA,NA,"STATISTICAL INFORMATION SYSTEMS FOR SUSTAINABLE DEVELOPMENT","Statistical Information Systems for Sustainable Development",15110,"Public sector policy and administrative management",151,"I.5.a. Government & Civil Society-general",10000,"Public Sector Institutions","Public sector",10000,"","","","Statistical Information Systems for Sustainable Development",NA,NA,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-31",NA,NA,"",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Text mining"
