commitmentdate,donorname_survey,projecttitle,recipientname,nsds,role,collaborators,csa,support_type,usd_costestimate,usd_commitment,isocode,recipientcode,regionid,regionname,iso3n,recipientname,source,db_ref,usd_disbursement
2017,International Monetary Fund - IMF,MEFMI: Macroeco.Finmgt Inst es AFR - Technical Assistance during FY 2018,Sub-Saharan Africa,Yes,Lead donor,NA,2.2; ,"Technical assistance (technical expertise, consultant services)","28,197",28197,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_11_2018_Regional,28197
2017,International Monetary Fund - IMF,Asia Pacific Region - Technical Assistance during FY 2018,Asia-Pacific,Yes,Lead donor,NA,2.6; 4.5; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","1,384,290",1384290,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_12_2018_Regional,1384290
2017,International Monetary Fund - IMF,PFTAC-Pacific Finan'l Tech Asst Ct - Technical Assistance during FY 2018,Oceania,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","923,032",923032,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_13_2018_Regional,923032
2017,International Monetary Fund - IMF,SARTTAC South Asia TA Center - Technical Assistance during FY 2018,South Asia,Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","789,173",789173,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_14_2018_Regional,789173
2017,International Monetary Fund - IMF,TAOLAM (Thailand TA Office) - Technical Assistance during FY 2018,South East Asia,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","341,385",341385,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_15_2018_Regional,341385
2017,International Monetary Fund - IMF,European Region - Technical Assistance during FY 2018,"Europe, regional",Yes,Lead donor,NA,2.6; 4.5; 2.5; 2.4.6; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","1,297,627",1297627,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_16_2018_Regional,1297627
2017,International Monetary Fund - IMF,Joint Vienna Institute - Technical Assistance during FY 2018,"Europe, regional",Yes,Lead donor,NA,2.4.6; ,"Technical assistance (technical expertise, consultant services)","21,065",21065,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_17_2018_Regional,21065
2017,International Monetary Fund - IMF,Multi-Region - Technical Assistance during FY 2018,Multilateral unallocated,Yes,Lead donor,NA,2.6; 4.5; 2.5; 2.4.6; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","3,805,351",3805351,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_18_2018_Regional,3805351
2017,International Monetary Fund - IMF,Middle East & Central Asia Region  - Technical Assistance during FY 2018,Asia-Pacific,Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","391,499",391499,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_19_2018_Regional,391499
2017,International Monetary Fund - IMF,MIDDLE EAST TA Center  - Technical Assistance during FY 2018,Middle East,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","602,914",602914,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_20_2018_Regional,602914
2017,International Monetary Fund - IMF,Center for Economics & Finance - Technical Assistance during FY 2018,Middle East,Yes,Lead donor,NA,2.4.6; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","66,823",66823,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_21_2018_Regional,66823
2017,International Monetary Fund - IMF,Western Hemisphere Region - Technical Assistance during FY 2018,Multilateral unallocated,Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","118,884",118884,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_22_2018_Regional,118884
2017,International Monetary Fund - IMF,CAMC-Central Amer Monetary Council - Technical Assistance during FY 2018,Central America,Yes,Lead donor,NA,2.5; ,"Technical assistance (technical expertise, consultant services)","10,886",10886,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_23_2018_Regional,10886
2017,International Monetary Fund - IMF,CARIBBEAN TA Center - Technical Assistance during FY 2018,Caribbean,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","969,987",969987,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_24_2018_Regional,969987
2017,International Monetary Fund - IMF,CENTRAL AMERICAN TA Center   - Technical Assistance during FY 2018,Central America,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","984,099",984099,NA,202105,14,Multilateral unallocated,NA,Regional,survey,imf_25_2018_Regional,984099
2017,International Monetary Fund - IMF,"Afghanistan, Islamic Republic - Technical Assistance during FY 2018",Afghanistan,Yes,Lead donor,NA,2.6; 2.4.6; 2.2; ,"Technical assistance (technical expertise, consultant services)","64,037",64037,AFG,625,10,South Asia,4,Afghanistan,survey,imf_26_2018_Afghanistan,64037
2017,International Monetary Fund - IMF,Albania - Technical Assistance during FY 2018,Albania,Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.2; 2.4.7; 2.7; ,"Technical assistance (technical expertise, consultant services)","174,265",174265,ALB,71,103,Eastern Europe,8,Albania,survey,imf_27_2018_Albania,174265
2017,International Monetary Fund - IMF,Algeria - Technical Assistance during FY 2018,Algeria,Yes,Lead donor,NA,2.6; 2.2; ,"Technical assistance (technical expertise, consultant services)","30,708",30708,DZA,130,3,North of Sahara,12,Algeria,survey,imf_28_2018_Algeria,30708
2017,International Monetary Fund - IMF,Angola - Technical Assistance during FY 2018,Angola,Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.2; ,"Technical assistance (technical expertise, consultant services)","91,087",91087,AGO,225,4,Sub-Saharan Africa,24,Angola,survey,imf_29_2018_Angola,91087
2017,International Monetary Fund - IMF,Antigua And Barbuda - Technical Assistance during FY 2018,Antigua and Barbuda,Yes,Lead donor,NA,2.6; 2.5; 2.2; ,"Technical assistance (technical expertise, consultant services)","37,369",37369,ATG,377,15,Caribbean,28,Antigua and Barbuda,survey,imf_30_2018_Antigua and Barbuda,37369
2017,International Monetary Fund - IMF,Argentina - Technical Assistance during FY 2018,Argentina,Yes,Lead donor,NA,2.4.6; 2.2; ,"Technical assistance (technical expertise, consultant services)","13,565",13565,ARG,425,7,South America,32,Argentina,survey,imf_31_2018_Argentina,13565
2017,International Monetary Fund - IMF,Armenia - Technical Assistance during FY 2018,Armenia,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.7; ,"Technical assistance (technical expertise, consultant services)","73,201",73201,ARM,610,103,Eastern Europe,51,Armenia,survey,imf_32_2018_Armenia,73201
2017,International Monetary Fund - IMF,Austria - Technical Assistance during FY 2018,Austria,Yes,Lead donor,NA,2.5; ,"Technical assistance (technical expertise, consultant services)","4,458",4458,AUT,NA,103,Eastern Europe,NA,Austria,survey,imf_33_2018_Austria,4458
2017,International Monetary Fund - IMF,Azerbaijan - Technical Assistance during FY 2018,Azerbaijan,Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.2; ,"Technical assistance (technical expertise, consultant services)","104,722",104722,AZE,611,103,Eastern Europe,31,Azerbaijan,survey,imf_34_2018_Azerbaijan,104722
2017,International Monetary Fund - IMF,Bahamas - Technical Assistance during FY 2018,Bahamas,Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.2; 2.7; ,"Technical assistance (technical expertise, consultant services)","131,353",131353,BHS,328,15,Caribbean,44,Bahamas,survey,imf_35_2018_Bahamas,131353
2017,International Monetary Fund - IMF,Bangladesh - Technical Assistance during FY 2018,Bangladesh,Yes,Lead donor,NA,2.6; 4.5; 2.5; 2.4.6; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","85,618",85618,BGD,666,10,South Asia,50,Bangladesh,survey,imf_36_2018_Bangladesh,85618
2017,International Monetary Fund - IMF,Barbados - Technical Assistance during FY 2018,Barbados,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.7; ,"Technical assistance (technical expertise, consultant services)","58,287",58287,BRB,329,15,Caribbean,52,Barbados,survey,imf_37_2018_Barbados,58287
2017,International Monetary Fund - IMF,Belarus - Technical Assistance during FY 2018,Belarus,Yes,Lead donor,NA,2.5; ,"Technical assistance (technical expertise, consultant services)","12,705",12705,BLR,86,103,Eastern Europe,112,Belarus,survey,imf_38_2018_Belarus,12705
2017,International Monetary Fund - IMF,Benin - Technical Assistance during FY 2018,Benin,Yes,Lead donor,NA,2.6; 2.5; 2.2; ,"Technical assistance (technical expertise, consultant services)","97,522",97522,BEN,236,4,Sub-Saharan Africa,204,Benin,survey,imf_39_2018_Benin,97522
2017,International Monetary Fund - IMF,Bermuda - Technical Assistance during FY 2018,Bermuda,Yes,Lead donor,NA,2.6; 2.2; 2.7; ,"Technical assistance (technical expertise, consultant services)","58,081",58081,BMU,331,15,Caribbean,60,Bermuda,survey,imf_40_2018_Bermuda,58081
2017,International Monetary Fund - IMF,Bhutan - Technical Assistance during FY 2018,Bhutan,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","129,599",129599,BTN,630,10,South Asia,64,Bhutan,survey,imf_41_2018_Bhutan,129599
2017,International Monetary Fund - IMF,Bolivia - Technical Assistance during FY 2018,Bolivia (Plurinational State of),Yes,Lead donor,NA,2.5; 2.2; ,"Technical assistance (technical expertise, consultant services)","29,386",29386,BOL,428,7,South America,68,Bolivia (Plurinational State of),survey,imf_42_2018_Bolivia (Plurinational State of),29386
2017,International Monetary Fund - IMF,Bosnia And Herzegovina - Technical Assistance during FY 2018,Bosnia and Herzegovina,Yes,Lead donor,NA,2.6; 4.5; 2.5; 2.4.6; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","115,817",115817,BIH,64,103,Eastern Europe,70,Bosnia and Herzegovina,survey,imf_43_2018_Bosnia and Herzegovina,115817
2017,International Monetary Fund - IMF,Botswana - Technical Assistance during FY 2018,Botswana,Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.2; 2.7; ,"Technical assistance (technical expertise, consultant services)","73,279",73279,BWA,227,4,Sub-Saharan Africa,72,Botswana,survey,imf_44_2018_Botswana,73279
2017,International Monetary Fund - IMF,British Virgin Islands - Technical Assistance during FY 2018,British Virgin Islands,Yes,Lead donor,NA,2.2; ,"Technical assistance (technical expertise, consultant services)","16,006",16006,VGB,NA,15,Caribbean,NA,British Virgin Islands,survey,imf_45_2018_British Virgin Islands,16006
2017,International Monetary Fund - IMF,Burkina Faso - Technical Assistance during FY 2018,Burkina Faso,Yes,Lead donor,NA,2.6; 2.5; 2.2; ,"Technical assistance (technical expertise, consultant services)","85,004",85004,BFA,287,4,Sub-Saharan Africa,854,Burkina Faso,survey,imf_46_2018_Burkina Faso,85004
2017,International Monetary Fund - IMF,Cabo Verde - Technical Assistance during FY 2018,Cabo Verde,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","116,290",116290,CPV,230,4,Sub-Saharan Africa,132,Cabo Verde,survey,imf_47_2018_Cabo Verde,116290
2017,International Monetary Fund - IMF,Cambodia - Technical Assistance during FY 2018,Cambodia,Yes,Lead donor,NA,2.6; 4.5; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","68,130",68130,KHM,728,18,South East Asia,116,Cambodia,survey,imf_48_2018_Cambodia,68130
2017,International Monetary Fund - IMF,Cameroon - Technical Assistance during FY 2018,Cameroon,Yes,Lead donor,NA,2.6; 2.5; 2.2; ,"Technical assistance (technical expertise, consultant services)","95,013",95013,CMR,229,4,Sub-Saharan Africa,120,Cameroon,survey,imf_49_2018_Cameroon,95013
2017,International Monetary Fund - IMF,Cayman Islands - Technical Assistance during FY 2018,Cayman Islands,Yes,Lead donor,NA,2.6; 2.2; ,"Technical assistance (technical expertise, consultant services)","20,115",20115,CYM,386,15,Caribbean,136,Cayman Islands,survey,imf_50_2018_Cayman Islands,20115
2017,International Monetary Fund - IMF,Central African Republic - Technical Assistance during FY 2018,Central African Republic,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","114,636",114636,CAF,231,4,Sub-Saharan Africa,140,Central African Republic,survey,imf_51_2018_Central African Republic,114636
2017,International Monetary Fund - IMF,Chad - Technical Assistance during FY 2018,Chad,Yes,Lead donor,NA,2.6; 2.5; 2.2; ,"Technical assistance (technical expertise, consultant services)","142,673",142673,TCD,232,4,Sub-Saharan Africa,148,Chad,survey,imf_52_2018_Chad,142673
2017,International Monetary Fund - IMF,Colombia - Technical Assistance during FY 2018,Colombia,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; 2.7; ,"Technical assistance (technical expertise, consultant services)","229,128",229128,COL,437,7,South America,170,Colombia,survey,imf_53_2018_Colombia,229128
2017,International Monetary Fund - IMF,Comoros - Technical Assistance during FY 2018,Comoros,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.7; ,"Technical assistance (technical expertise, consultant services)","52,462",52462,COM,233,4,Sub-Saharan Africa,174,Comoros,survey,imf_54_2018_Comoros,52462
2017,International Monetary Fund - IMF,"Congo, Democratic Republic Of - Technical Assistance during FY 2018",Congo (Democratic Republic of the),Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.2; ,"Technical assistance (technical expertise, consultant services)","155,678",155678,COD,235,4,Sub-Saharan Africa,180,Congo (Democratic Republic of the),survey,imf_55_2018_Congo (Democratic Republic of the),155678
2017,International Monetary Fund - IMF,"Congo, Republic Of - Technical Assistance during FY 2018",Congo,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","97,211",97211,COG,234,4,Sub-Saharan Africa,178,Congo,survey,imf_56_2018_Congo,97211
2017,International Monetary Fund - IMF,Cook Islands - Technical Assistance during FY 2018,Cook Islands,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","88,925",88925,COK,831,12,Oceania,184,Cook Islands,survey,imf_57_2018_Cook Islands,88925
2017,International Monetary Fund - IMF,Costa Rica - Technical Assistance during FY 2018,Costa Rica,Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","124,927",124927,CRI,336,16,Central America,188,Costa Rica,survey,imf_58_2018_Costa Rica,124927
2017,International Monetary Fund - IMF,Cote D'Ivoire - Technical Assistance during FY 2018,C<f4>te d'Ivoire,Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.2; ,"Technical assistance (technical expertise, consultant services)","70,853",70853,CIV,247,4,Sub-Saharan Africa,384,C<f4>te d'Ivoire,survey,imf_59_2018_C<f4>te d'Ivoire,70853
2017,International Monetary Fund - IMF,Djibouti - Technical Assistance during FY 2018,Djibouti,Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.2; ,"Technical assistance (technical expertise, consultant services)","177,260",177260,DJI,274,4,Sub-Saharan Africa,262,Djibouti,survey,imf_60_2018_Djibouti,177260
2017,International Monetary Fund - IMF,Dominica - Technical Assistance during FY 2018,Dominica,Yes,Lead donor,NA,2.6; 2.5; 2.2; ,"Technical assistance (technical expertise, consultant services)","40,200",40200,DMA,378,15,Caribbean,212,Dominica,survey,imf_61_2018_Dominica,40200
2017,International Monetary Fund - IMF,Dominican Republic - Technical Assistance during FY 2018,Dominican Republic,Yes,Lead donor,NA,2.6; 2.5; 2.2; ,"Technical assistance (technical expertise, consultant services)","93,822",93822,DOM,340,15,Caribbean,214,Dominican Republic,survey,imf_62_2018_Dominican Republic,93822
2017,International Monetary Fund - IMF,ECCU / ECCB - Technical Assistance during FY 2018,ECCU / ECCB,Yes,Lead donor,NA,2.6; 2.2; ,"Technical assistance (technical expertise, consultant services)","12,628",12628,NA,202103,104,Latin America and Caribbean,NA,ECCU / ECCB,survey,imf_63_2018_ECCU / ECCB,12628
2017,International Monetary Fund - IMF,Ecuador - Technical Assistance during FY 2018,Ecuador,Yes,Lead donor,NA,2.6; 2.4.6; ,"Technical assistance (technical expertise, consultant services)","111,316",111316,ECU,440,7,South America,218,Ecuador,survey,imf_64_2018_Ecuador,111316
2017,International Monetary Fund - IMF,"Egypt, Arab Republic Of - Technical Assistance during FY 2018",Egypt,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.7; ,"Technical assistance (technical expertise, consultant services)","70,976",70976,EGY,142,3,North of Sahara,818,Egypt,survey,imf_65_2018_Egypt,70976
2017,International Monetary Fund - IMF,El Salvador - Technical Assistance during FY 2018,El Salvador,Yes,Lead donor,NA,2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","54,471",54471,SLV,342,16,Central America,222,El Salvador,survey,imf_66_2018_El Salvador,54471
2017,International Monetary Fund - IMF,Equatorial Guinea - Technical Assistance during FY 2018,Equatorial Guinea,Yes,Lead donor,NA,2.6; 2.5; 2.2; ,"Technical assistance (technical expertise, consultant services)","66,045",66045,GNQ,245,4,Sub-Saharan Africa,226,Equatorial Guinea,survey,imf_67_2018_Equatorial Guinea,66045
2017,International Monetary Fund - IMF,Eritrea - Technical Assistance during FY 2018,Eritrea,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","56,815",56815,ERI,271,4,Sub-Saharan Africa,232,Eritrea,survey,imf_68_2018_Eritrea,56815
2017,International Monetary Fund - IMF,Ethiopia - Technical Assistance during FY 2018,Ethiopia,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.7; ,"Technical assistance (technical expertise, consultant services)","89,091",89091,ETH,238,4,Sub-Saharan Africa,231,Ethiopia,survey,imf_69_2018_Ethiopia,89091
2017,International Monetary Fund - IMF,Fiji - Technical Assistance during FY 2018,Fiji,Yes,Lead donor,NA,2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","31,774",31774,FJI,832,12,Oceania,242,Fiji,survey,imf_70_2018_Fiji,31774
2017,International Monetary Fund - IMF,Gabon - Technical Assistance during FY 2018,Gabon,Yes,Lead donor,NA,2.6; 2.5; 2.2; ,"Technical assistance (technical expertise, consultant services)","144,892",144892,GAB,239,4,Sub-Saharan Africa,266,Gabon,survey,imf_71_2018_Gabon,144892
2017,International Monetary Fund - IMF,Gambia - Technical Assistance during FY 2018,Gambia,Yes,Lead donor,NA,2.6; 4.5; 2.5; 2.4.6; 2.2; 2.4.7; 2.7; ,"Technical assistance (technical expertise, consultant services)","242,617",242617,GMB,240,4,Sub-Saharan Africa,270,Gambia,survey,imf_72_2018_Gambia,242617
2017,International Monetary Fund - IMF,Georgia - Technical Assistance during FY 2018,Georgia,Yes,Lead donor,NA,2.4.6; 2.2; 2.4.7; 2.7; ,"Technical assistance (technical expertise, consultant services)","141,149",141149,GEO,612,103,Eastern Europe,268,Georgia,survey,imf_73_2018_Georgia,141149
2017,International Monetary Fund - IMF,Ghana - Technical Assistance during FY 2018,Ghana,Yes,Lead donor,NA,2.5; 2.4.6; 2.2; 2.7; ,"Technical assistance (technical expertise, consultant services)","48,019",48019,GHA,241,4,Sub-Saharan Africa,288,Ghana,survey,imf_74_2018_Ghana,48019
2017,International Monetary Fund - IMF,Greece - Technical Assistance during FY 2018,Greece,Yes,Lead donor,NA,2.5; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","103,060",103060,GRC,40,103,Eastern Europe,300,Greece,survey,imf_75_2018_Greece,103060
2017,International Monetary Fund - IMF,Grenada - Technical Assistance during FY 2018,Grenada,Yes,Lead donor,NA,2.6; 2.5; 2.2; ,"Technical assistance (technical expertise, consultant services)","69,102",69102,GRD,381,15,Caribbean,308,Grenada,survey,imf_76_2018_Grenada,69102
2017,International Monetary Fund - IMF,Guatemala - Technical Assistance during FY 2018,Guatemala,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","51,458",51458,GTM,347,16,Central America,320,Guatemala,survey,imf_77_2018_Guatemala,51458
2017,International Monetary Fund - IMF,Guinea - Technical Assistance during FY 2018,Guinea,Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.2; 2.7; ,"Technical assistance (technical expertise, consultant services)","140,792",140792,GIN,243,4,Sub-Saharan Africa,324,Guinea,survey,imf_78_2018_Guinea,140792
2017,International Monetary Fund - IMF,Guinea-Bissau - Technical Assistance during FY 2018,Guinea-Bissau,Yes,Lead donor,NA,2.6; 2.5; 2.2; ,"Technical assistance (technical expertise, consultant services)","153,523",153523,GNB,244,4,Sub-Saharan Africa,624,Guinea-Bissau,survey,imf_79_2018_Guinea-Bissau,153523
2017,International Monetary Fund - IMF,Guyana - Technical Assistance during FY 2018,Guyana,Yes,Lead donor,NA,2.6; 2.5; 2.2; ,"Technical assistance (technical expertise, consultant services)","53,124",53124,GUY,446,7,South America,328,Guyana,survey,imf_80_2018_Guyana,53124
2017,International Monetary Fund - IMF,Haiti - Technical Assistance during FY 2018,Haiti,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.4.7; 2.7; ,"Technical assistance (technical expertise, consultant services)","114,187",114187,HTI,349,15,Caribbean,332,Haiti,survey,imf_81_2018_Haiti,114187
2017,International Monetary Fund - IMF,Honduras - Technical Assistance during FY 2018,Honduras,Yes,Lead donor,NA,2.6; 2.5; 2.2; ,"Technical assistance (technical expertise, consultant services)","52,644",52644,HND,351,16,Central America,340,Honduras,survey,imf_82_2018_Honduras,52644
2017,International Monetary Fund - IMF,India - Technical Assistance during FY 2018,India,Yes,Lead donor,NA,2.5; 2.2; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","47,783",47783,IND,645,10,South Asia,356,India,survey,imf_83_2018_India,47783
2017,International Monetary Fund - IMF,Indonesia - Technical Assistance during FY 2018,Indonesia,Yes,Lead donor,NA,2.2; 2.7; ,"Technical assistance (technical expertise, consultant services)","67,965",67965,IDN,738,9,East Asia,360,Indonesia,survey,imf_84_2018_Indonesia,67965
2017,International Monetary Fund - IMF,"Iran, Islamic Republic Of - Technical Assistance during FY 2018",Iran (Islamic Republic of),Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","216,054",216054,IRN,540,11,Middle East,364,Iran (Islamic Republic of),survey,imf_85_2018_Iran (Islamic Republic of),216054
2017,International Monetary Fund - IMF,Iraq - Technical Assistance during FY 2018,Iraq,Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.2; ,"Technical assistance (technical expertise, consultant services)","127,864",127864,IRQ,543,11,Middle East,368,Iraq,survey,imf_86_2018_Iraq,127864
2017,International Monetary Fund - IMF,Jamaica - Technical Assistance during FY 2018,Jamaica,Yes,Lead donor,NA,2.6; 2.5; 2.2; 2.7; ,"Technical assistance (technical expertise, consultant services)","116,464",116464,JAM,354,15,Caribbean,388,Jamaica,survey,imf_87_2018_Jamaica,116464
2017,International Monetary Fund - IMF,Jordan - Technical Assistance during FY 2018,Jordan,Yes,Lead donor,NA,2.5; 2.2; ,"Technical assistance (technical expertise, consultant services)","29,376",29376,JOR,549,11,Middle East,400,Jordan,survey,imf_88_2018_Jordan,29376
2017,International Monetary Fund - IMF,"Kazakhstan, Republic Of - Technical Assistance during FY 2018",Kazakhstan,Yes,Lead donor,NA,2.5; 2.4.6; 2.4.7; ,"Technical assistance (technical expertise, consultant services)","35,258",35258,KAZ,613,17,Central Asia,398,Kazakhstan,survey,imf_89_2018_Kazakhstan,35258
2017,International Monetary Fund - IMF,Kenya - Technical Assistance during FY 2018,Kenya,Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.2; 2.7; ,"Technical assistance (technical expertise, consultant services)","131,360",131360,KEN,248,4,Sub-Saharan Africa,404,Kenya,survey,imf_90_2018_Kenya,131360
2017,International Monetary Fund - IMF,Kingdom of Eswatini - Technical Assistance during FY 2018,Swaziland,Yes,Lead donor,NA,2.6; 2.5; 2.4.6; 2.2; 2.7; ,"Technical assistance (technical expertise, consultant services)","114,681",114681,SWZ,280,4,Sub-Saharan Africa,748,Swaziland,survey,imf_91_2018_Swaziland,114681
